Address,Price,Radius,Beds,Bath
"Yorkshire  Pass, 3489",378616,90,4,3
"Byland  Hill, 9016",199760,45,4,2
"Capeners  Lane, 7522",361220,97,2,2
"Monroe Rue, 1306",456819,42,5,1
"Bendmore  Grove, 4558",336145,26,3,2
"Westcott  Road, 5432",85469,2,1,3
"East Pass, 3582",476657,0,2,2
"Bigland  Lane, 6323",189525,4,3,3
"Endsleigh  Street, 8261",268366,74,4,2
"Yoakley Grove, 6968",135674,28,2,1
"Adderley   Street, 6127",475816,4,4,1
"Wake  Walk, 9558",238011,66,4,3
"Vine  Walk, 3258",152001,97,4,1
"Bicknell  Pass, 5935",175864,51,3,1
"Badric  Rue, 7576",373521,99,3,3
"Champion  Road, 3638",498756,72,3,1
"Bocking   Crossroad, 675",85901,2,3,2
"Clere  Route, 9636",191435,65,5,1
"Bolton  Road, 6665",288679,22,5,3
"Arlington  Street, 6988",350552,19,5,3
"Chandos  Drive, 2294",159640,2,1,2
"Amwell    Avenue, 1999",269212,11,3,2
"Chelsea Manor  Walk, 4046",202120,57,5,1
"Maple Rue, 4668",278905,61,2,2
"Bendall   Route, 4119",424877,45,5,3
"Rivervalley Pass, 707",336584,76,4,2
"Victoria Rise Grove, 433",98409,45,1,3
"Andrews  Boulevard, 3298",326348,12,3,3
"King William  Pass, 7349",234178,74,1,1
"Oxford Walk, 6540",347710,65,5,3
"Ellerslie Boulevard, 7011",414327,8,3,2
"Baylis  Grove, 4011",121029,29,3,1
"King Alley, 2190",197929,32,1,1
"Lake Boulevard, 2276",61335,76,3,2
"Belfort  Route, 4460",409108,22,5,2
"Boleyn  Way, 8044",67337,95,2,1
"Longmoore   Boulevard, 2514",250589,49,5,1
"Calderwood   Grove, 3328",201374,81,4,1
"Kinglake  Avenue, 7843",194954,11,1,2
"Cedarne  Drive, 3598",82068,57,5,1
"Chester  Grove, 2902",213009,71,1,2
"Maple Drive, 5794",170483,56,2,3
"Canal  Alley, 4616",234130,20,2,3
"Elystan  Road, 7163",428960,12,3,1
"Durnford  Lane, 3745",463766,98,5,1
"Maple Road, 9740",94180,62,3,3
"Gautrey  Street, 544",298275,91,3,1
"Woodland Lane, 6620",217067,66,1,1
"Walnut Hill, 5201",317480,62,2,2
"Antrobus   Street, 3482",311426,28,4,3
"Clarges   Avenue, 3110",309343,80,5,2
"Bempton   Rue, 2904",142357,90,2,2
"Chambers  Pass, 5482",192158,81,5,2
"Fairfield  Grove, 5037",499445,12,2,2
"Maple Pass, 9706",336133,85,1,3
"Jackson Boulevard, 7948",439783,18,4,2
"Ensign   Street, 3891",376293,10,1,1
"Bolton  Walk, 2650",259926,76,2,2
"Dunsley  Walk, 5775",353151,59,2,3
"Canal  Boulevard, 5693",69553,7,4,2
"Bury  Pass, 4497",333612,31,1,2
"Fieldstone Alley, 2737",60594,28,2,2
"Chester      Rue, 1694",92131,83,1,2
"Lonsdale  Street, 1925",317537,39,4,3
"Eldon  Walk, 6816",61906,32,3,1
"Endsleigh  Walk, 8361",253531,26,1,3
"Sundown Boulevard, 6500",187250,92,2,1
"Norfolk  Route, 9497",156867,59,2,3
"Castile  Tunnel, 358",462732,28,4,1
"Zealand Way, 9969",484789,81,2,3
"Falconberg   Boulevard, 6413",310852,12,3,3
"Ellerman   Hill, 2895",263135,45,5,1
"Fieldstone Pass, 7889",376406,30,2,2
"Viscount   Walk, 5351",489880,44,3,2
"Buttonwood Rue, 3388",99087,93,1,3
"Cavell   Boulevard, 6577",261668,63,5,2
"Cliffords  Pass, 4435",421638,69,1,3
"Tisbury  Street, 2409",279792,6,2,1
"Enford   Alley, 6021",356815,7,3,1
"Falconberg   Drive, 3645",286518,71,3,2
"Blackheath   Vale, 2550",349517,34,5,3
"Coborn  Alley, 1517",386700,47,3,3
"Bocking   Alley, 5984",440881,84,2,2
"Parkfields Road, 7885",303785,51,3,3
"Apollo  Alley, 3003",490828,44,3,2
"Pine Drive, 8449",371767,45,3,2
"Cloth  Grove, 9335",318496,93,2,2
"Spruce Walk, 6569",443065,18,5,1
"Pine Grove, 1017",425662,46,1,1
"Canon Crossroad, 7685",64041,0,3,2
"Angel  Pass, 1536",221956,90,1,1
"Bacon  Crossroad, 9672",311859,7,2,3
"Bloomsbury  Way, 1062",168801,70,2,1
"Birkenhead   Pass, 8801",496467,47,2,1
"Elba  Vale, 5654",468698,93,1,3
"Canon Avenue, 4913",175683,76,1,2
"Canning  Vale, 2529",228688,63,2,3
"Birkbeck  Rue, 7671",183427,19,2,2
"Chatsworth  Tunnel, 3899",243944,83,1,1
"Tilson  Route, 6514",110957,30,2,1
"Yoakley Way, 9846",473710,18,3,3
"Caldwell   Way, 5950",425492,90,2,2
"Parkfield  Walk, 6339",381333,70,1,1
"Bazely   Alley, 8482",466485,84,3,3
"Collent   Way, 2616",199454,11,2,1
"Endsleigh  Walk, 3549",57462,83,4,2
"Abourne   Walk, 5965",470101,88,4,1
"Victorian  Road, 3991",317655,5,2,3
"Cleveland  Vale, 161",200482,6,5,3
"Blanchard  Boulevard, 5023",405062,90,2,2
"Cloth  Tunnel, 7196",443443,46,4,2
"Beaumont  Tunnel, 9918",484197,84,4,1
"Hammersmith  Crossroad, 7372",77132,10,1,2
"Abourne   Boulevard, 6821",395990,69,3,2
"Norland  Alley, 1446",491079,29,4,2
"Arline    Rue, 7204",315660,69,2,1
"Gatonby   Road, 3695",147762,25,4,2
"Wager   Walk, 7286",410327,16,5,2
"Aberavon  Road, 1055",394488,7,5,3
"Oxford Crossroad, 9846",300792,0,3,3
"Coley  Road, 4699",233038,83,2,3
"Sundown Boulevard, 5516",250428,77,1,3
"Calshot   Grove, 1795",107383,81,2,3
"Cobden  Way, 8247",327955,36,2,3
"Blean   Route, 6599",163062,20,3,1
"Cave   Tunnel, 3939",199471,59,4,2
"Champion  Hill, 3201",185586,78,5,3
"Union  Walk, 4298",135184,32,1,2
"Baynes  Way, 7890",261704,96,1,1
"Cingworth  Lane, 1942",306371,58,4,2
"Oxford Walk, 7953",148462,60,1,3
"Rivervalley Avenue, 3164",309261,50,5,3
"Dyott   Street, 620",447725,54,4,2
"Norfolk  Way, 8616",332536,57,3,3
"Shepherds  Vale, 7315",141981,15,2,1
"Maple Way, 9703",370829,87,4,2
"Yoakley Avenue, 8942",256081,13,2,2
"Shepherds  Vale, 6858",64283,95,2,2
"Waite  Lane, 5909",66200,68,1,2
"Durnford  Hill, 3717",209945,65,3,2
"Caroline  Alley, 1709",354084,12,1,2
"Arctic   Drive, 1699",247362,9,3,1
"Chambers  Road, 1727",138363,1,4,3
"Paris   Route, 6769",134658,50,5,3
"Blackall   Avenue, 1026",267548,92,4,1
"Howard Avenue, 3560",424758,22,1,1
"Bliss  Grove, 5973",316256,67,2,2
"Fair Street, 1591",337899,73,4,3
"Buttonwood Avenue, 4876",328456,6,4,1
"Bocking   Alley, 9550",127137,66,5,3
"Bellenden   Walk, 3635",402274,66,4,3
"Timber   Alley, 5964",424755,54,2,2
"Kingly  Drive, 8435",132635,6,1,1
"Maple Crossroad, 2140",124390,35,5,2
"Glenwood Way, 4202",54956,46,3,1
"Anns  Walk, 8568",85016,92,1,3
"Marischal  Lane, 7859",284362,33,5,1
"St. Jamess  Alley, 9876",316527,76,4,2
"Blackpool  Vale, 6174",186244,98,2,2
"Monroe Vale, 8217",85767,94,2,3
"Coal Wharf  Drive, 1058",112213,1,3,2
"Thomas  Grove, 6444",60681,90,3,1
"Bellenden   Grove, 4187",364948,80,3,2
"Abourne   Tunnel, 7749",474315,94,1,3
"Cliffords  Drive, 4413",225429,55,1,3
"St. Jamess  Crossroad, 4540",388978,4,5,3
"Betton  Drive, 2790",85179,81,2,3
"Hampden  Route, 3796",111767,84,3,2
"Fawn Boulevard, 1953",78424,42,4,1
"Abbotswell  Street, 6338",209119,21,2,2
"Sheffield Drive, 9465",391483,59,3,3
"King William  Avenue, 8646",110512,77,1,3
"Parkgate  Alley, 2526",370981,67,3,2
"Bellenden  Tunnel, 6900",329894,27,4,1
"Berry  Way, 7245",316813,12,3,1
"Monroe Grove, 3784",160658,4,3,2
"Woodland Boulevard, 9286",343979,55,2,3
"Black Friars   Route, 6402",296032,77,1,3
"Calderwood   Tunnel, 1369",195095,75,4,2
"College  Vale, 5415",343507,57,4,1
"Cockspur  Crossroad, 4673",333196,89,5,3
"Cingworth  Pass, 9686",371506,41,2,2
"Belmore  Alley, 462",203670,47,1,3
"Blean   Tunnel, 9233",180346,91,5,3
"Biggerstaff   Route, 11",494913,51,4,2
"Rosewood Vale, 9173",447547,13,2,3
"Victoria Rise Vale, 6079",201367,31,5,2
"Bishop   Avenue, 3107",94256,58,2,2
"Durham Hill, 3396",493407,91,4,3
"Adelaide  Drive, 7257",457262,57,1,3
"Ensign   Vale, 4580",202945,91,5,3
"King Boulevard, 9531",319820,11,2,1
"Queen Rue, 8902",467856,38,1,3
"Cockspur  Hill, 8980",148878,55,1,1
"Camberwell  Crossroad, 4313",381190,75,5,1
"Chapel  Crossroad, 7584",353000,43,4,2
"Bazely   Route, 3857",408269,33,4,2
"Burton  Crossroad, 9763",133771,5,5,1
"Bellenden  Hill, 1202",212273,91,3,3
"Elgood   Avenue, 8635",213592,56,5,2
"Howard Vale, 2552",478961,28,2,2
"Biggerstaff   Avenue, 4235",146553,43,4,3
"Endsleigh  Grove, 5498",363854,94,5,3
"Vincent  Way, 3127",284783,21,4,3
"Bigland  Avenue, 4326",396199,61,5,2
"Glenwood Pass, 2329",394401,56,5,2
"Endsleigh  Rue, 1461",264776,92,5,2
"Cavell   Boulevard, 6660",328210,12,4,2
"Victoria Rise Drive, 4315",85879,62,4,1
"King Drive, 4452",420705,68,3,2
"Clissold  Boulevard, 9320",221564,98,3,1
"Aberavon  Vale, 445",179414,73,3,3
"Birkbeck  Walk, 1511",268452,24,5,1
"Bermondsey    Walk, 6855",472136,27,1,1
"Calderwood   Rue, 6534",158711,46,1,2
"Calvin   Pass, 2370",116282,25,2,2
"West Route, 7920",451464,19,3,3
"Fieldstone Boulevard, 3383",244884,58,1,3
"Bagford   Tunnel, 4431",366882,42,1,1
"Abbotswell  Route, 460",171701,36,3,1
"Dunsley  Lane, 3381",497377,59,4,1
"Marischal  Lane, 460",85764,50,2,2
"Coalecroft  Boulevard, 8084",444971,90,2,2
"Andsell    Walk, 4431",423686,11,2,1
"Calvin   Pass, 6216",424112,6,3,1
"Durnford  Road, 4389",497038,47,5,1
"Glenwood Route, 6246",464019,91,4,1
"Pine Tunnel, 3927",254987,8,4,2
"Aylward   Lane, 1638",267394,34,4,2
"Coal Wharf  Grove, 2481",246922,70,2,1
"Sundown Route, 8842",245650,42,2,1
"Western   Walk, 9102",139919,56,2,3
"Abbots   Street, 3758",491010,84,4,1
"Enderby   Tunnel, 5103",109701,25,4,1
"Lake Route, 4824",143226,46,1,3
"Apsley    Avenue, 208",346625,34,3,3
"Pine Tunnel, 2833",401777,44,3,2
"Addison  Crossroad, 4575",439073,64,4,1
"Sheringham   Route, 3021",125249,69,5,2
"Colombo   Grove, 9925",92799,21,1,2
"Spruce Route, 3208",270789,23,3,1
"Maple Street, 3509",417655,18,3,3
"Parkfield  Road, 3425",420382,26,3,3
"Queensberry  Pass, 4919",343579,48,2,2
"Caslon   Tunnel, 6865",150764,33,5,2
"Lexington Vale, 3739",232930,23,1,1
"Coal Wharf  Drive, 3502",280652,36,4,3
"Andrews  Rue, 2720",478636,60,5,2
"Cadogan  Crossroad, 8381",389299,23,2,1
"Caxton  Rue, 5930",430788,56,2,3
"Blackall   Drive, 4165",65701,36,4,3
"Camden  Vale, 1399",104190,65,4,2
"Bedford  Grove, 2714",378624,13,5,3
"Beaumont  Hill, 6524",497675,78,5,1
"Arthur  Pass, 6663",406636,34,5,2
"Bingham   Crossroad, 9175",157384,16,3,3
"Chesterfield  Rue, 6335",311786,69,4,1
"Thomas More   Boulevard, 1159",247297,41,1,2
"Elgood   Pass, 401",311940,82,4,2
"Camdenhurst   Avenue, 3279",190071,74,5,3
"Comet House  Route, 4916",483851,29,1,2
"Chart   Road, 4131",91077,10,5,1
"Udall   Hill, 3541",467918,84,5,1
"Eaglet  Crossroad, 6565",203980,82,2,1
"Fieldstone Boulevard, 2705",477234,86,2,3
"Bliss  Way, 4743",105825,9,5,2
"Hampden  Way, 4908",374856,86,3,3
"Cable    Drive, 3825",456320,97,4,2
"Lake Crossroad, 6219",260897,62,2,2
"Buttonwood Vale, 1419",156185,57,2,2
"Beaconsfield  Crossroad, 8045",387231,97,4,2
"Virginia Vale, 6202",481621,94,2,1
"King Edward  Lane, 465",452157,62,2,2
"Carol   Crossroad, 6553",262035,64,5,1
"Hickory Lane Boulevard, 4859",178040,9,3,3
"Sheringham   Hill, 1535",499034,5,1,1
"Beatty  Road, 5095",355364,96,2,2
"Baltic  Alley, 3423",478147,12,5,1
"Dutton   Vale, 2782",200012,66,2,3
"Bush  Vale, 6745",431493,87,2,1
"Blackwall  Lane, 8957",306049,10,2,1
"College  Vale, 7925",354596,67,4,1
"Baltic  Vale, 3331",488108,50,5,1
"Camelot   Crossroad, 6644",224386,80,3,3
"Apsley    Crossroad, 8307",91865,0,1,3
"Parkfields Grove, 3824",59845,70,1,1
"Rosewood Avenue, 6564",498715,66,3,2
"Abbey   Boulevard, 8741",214577,44,1,3
"Jackson Street, 1815",182622,80,2,3
"Bloomsbury  Drive, 5838",350284,50,2,1
"Marina  Drive, 9516",408364,84,5,2
"West Road, 3904",114305,92,2,3
"Victoria Rise Drive, 7272",302104,97,1,1
"Meadow Street, 7271",456240,74,1,3
"English   Alley, 3298",120694,25,3,1
"East Lane, 5693",321126,28,3,2
"Fieldstone Walk, 1518",447826,97,1,3
"Besson  Crossroad, 1071",290507,22,5,2
"Cave   Street, 8935",91739,69,4,3
"Caxton  Alley, 9857",352028,77,3,1
"Cedarne  Vale, 9576",361102,60,3,3
"Rivervalley Hill, 187",397386,8,5,2
"Bede  Street, 6226",63477,64,5,2
"Marina  Rue, 5097",312927,72,4,1
"Aspen Vale, 2129",140384,52,4,3
"Marina  Vale, 8430",326457,30,3,2
"Blendon    Crossroad, 3208",324657,85,2,3
"Howard Route, 6411",109030,77,3,2
"South Grove, 1071",447886,79,4,3
"Rivervalley Walk, 5710",303278,15,3,2
"King Walk, 4156",201451,32,2,1
"Camera  Street, 9738",439171,41,3,3
"Fairbairn  Hill, 697",388340,25,4,1
"Paris   Pass, 7301",281538,78,4,1
"Bolingbroke  Pass, 475",364451,79,2,3
"Hammersmith  Street, 7945",252785,15,2,3
"Bales  Vale, 194",220978,13,4,2
"Canon Avenue, 8109",457516,91,2,2
"Caedmon  Rue, 8219",290608,64,5,3
"Monroe Lane, 1661",326932,36,1,1
"Duthie   Tunnel, 3012",92289,34,3,2
"Victorian  Pass, 1346",343051,87,4,3
"Thomas More   Tunnel, 7931",448964,90,2,2
"Fair Drive, 9158",283575,47,5,3
"Birkbeck  Crossroad, 7644",395756,65,2,3
"Epworth  Avenue, 8115",304477,76,5,2
"Elia   Rue, 8833",395092,17,5,1
"Tilson  Route, 7287",259767,73,4,3
"East Route, 5749",440989,58,4,2
"Billing  Route, 8828",147188,24,5,1
"Longleigh   Drive, 3211",110600,46,1,2
"Babmaes    Road, 7521",186346,5,4,2
"Beechen  Road, 3022",464787,70,1,3
"St. Jamess  Tunnel, 6966",131273,30,1,1
"Lincoln Road, 5508",468240,94,1,3
"East Route, 3315",173209,57,2,1
"Glenwood Walk, 5658",289667,99,5,2
"Buttonwood Hill, 2942",292016,86,1,2
"Hampden  Way, 9539",119898,5,3,3
"Dunsley  Street, 3735",96298,45,3,1
"Under  Drive, 6479",108048,84,5,3
"Marischal  Vale, 6479",190936,16,4,3
"Fieldstone Tunnel, 3916",88423,7,2,2
"Cephas  Route, 1185",285723,79,1,1
"Clere  Street, 4297",290521,32,2,3
"Canning  Way, 4088",60178,19,5,1
"Victoria Rise Boulevard, 8420",450792,70,5,2
"Sherwood  Drive, 175",224681,19,3,3
"Carnegie   Hill, 6051",72485,85,3,3
"Bective  Street, 7786",427585,45,2,3
"Canning  Drive, 628",445967,53,2,1
"Clarges   Tunnel, 6331",87724,6,4,3
"Westcott  Grove, 1463",109744,84,5,1
"Chestnut  Walk, 9725",200461,37,3,2
"Cavaye  Alley, 516",165088,70,5,2
"Kinglake  Drive, 5082",348302,12,3,2
"Baltic  Drive, 9660",406394,74,1,3
"Bendmore  Way, 7062",323323,41,4,2
"Elizabeth  Alley, 5455",117568,77,4,3
"Clavell   Hill, 8280",210738,90,2,1
"Archery  Way, 4698",372966,30,3,3
"Edwin   Road, 5423",337112,42,5,1
"Union  Boulevard, 6483",181673,0,5,3
"Bigland  Drive, 5127",207596,82,3,1
"West Vale, 4348",425781,77,3,2
"Chambers  Tunnel, 8896",98901,29,4,2
"Antrobus   Road, 5121",209478,90,4,3
"Belmont Park Street, 646",454111,50,2,2
"Unwin  Drive, 3675",268628,95,5,2
"Apsley    Alley, 8028",342319,31,5,2
"Ernest  Pass, 1840",369617,21,3,3
"Boleyn  Road, 9957",461022,83,2,1
"Timber   Route, 9369",172001,12,4,1
"Geffrye   Avenue, 6228",203933,80,5,1
"Gathorne   Pass, 7047",318715,76,2,1
"Ayres   Crossroad, 1878",181093,91,5,3
"Timber   Route, 5724",104069,56,2,3
"Thrale   Crossroad, 3785",132962,17,1,3
"Belmont Park Hill, 3682",231843,56,3,1
"Vincent  Tunnel, 3162",80300,91,1,2
"Bayberry Pass, 9796",143240,94,4,1
"Chamberlain  Road, 2219",158712,61,2,1
"Armory  Boulevard, 4128",316262,22,2,1
"Emily  Walk, 8871",208505,24,4,2
"Lexington Tunnel, 529",343260,26,2,1
"Chestnut  Route, 9770",155015,51,3,1
"Cavendish Vale, 1625",476341,26,5,2
"Becher  Lane, 4756",358673,72,2,1
"Thoresby   Alley, 8548",364069,95,4,1
"Apollo  Vale, 5898",211176,93,5,3
"Cingworth  Grove, 3583",370689,79,1,3
"Erindale Pass, 4048",493294,74,2,1
"Glenwood Hill, 9656",289539,2,1,1
"Beaumont  Vale, 5354",303646,84,1,3
"Thomas  Hill, 5892",197911,99,4,1
"Vintners  Alley, 9732",471697,25,2,1
"Chapel  Grove, 7127",142100,44,5,2
"Ampton  Way, 8257",460450,83,3,2
"Sundown Walk, 1490",474090,8,1,3
"Chamberlain  Walk, 6563",388016,49,1,3
"Thurloe   Drive, 5951",394650,71,5,3
"Bendall   Walk, 3590",233604,6,2,2
"Blackpool  Pass, 4165",123195,18,3,1
"Zealand Crossroad, 9945",127264,26,3,1
"Earl Rise Road, 4535",475547,87,3,1
"Durham Street, 1462",102174,60,4,2
"Maple Walk, 5344",59133,81,2,1
"Blore  Tunnel, 5884",191011,66,4,1
"Garfield Way, 5941",251451,37,4,1
"Sheraton   Lane, 4623",134207,71,2,1
"Enford   Tunnel, 468",307734,73,3,1
"Cedarne  Grove, 1514",253365,24,1,2
"Bush  Crossroad, 6322",145297,82,5,2
"Cockspur  Hill, 6682",157489,96,4,1
"Gatonby   Alley, 8331",94238,5,5,2
"North Hill, 7405",468924,21,5,1
"Yoakley Grove, 9956",104422,71,3,3
"Howard Crossroad, 9752",451758,28,5,3
"Kilner   Route, 3339",397209,90,1,1
"Chalcot  Boulevard, 3536",136242,12,1,3
"Kingly  Lane, 2808",323792,9,2,2
"Arlington  Rue, 1180",162695,14,2,3
"Chartham  Crossroad, 2055",397001,3,4,1
"Yorkshire  Route, 1594",188799,81,5,3
"St. Jamess  Way, 9292",313249,39,1,3
"Bective  Rue, 2844",136077,52,3,2
"Calderwood   Street, 5211",392042,77,2,1
"Thurloe   Vale, 4205",91278,44,3,1
"Hickory Lane Vale, 3000",177811,34,4,3
"Adams  Street, 6654",390658,18,1,1
"Yorkshire  Lane, 5798",279541,20,4,2
"Biggerstaff   Way, 5483",66102,67,4,2
"Victoria Rise Avenue, 4932",475575,50,3,2
"Castle Drive, 9071",130013,67,4,3
"Dutton   Crossroad, 31",317030,17,5,1
"Epworth  Crossroad, 5816",158969,95,4,1
"Hickory Lane Pass, 2482",350324,13,2,2
"Bingham   Vale, 8112",354045,56,5,2
"Caxton  Rue, 3323",288122,1,4,1
"Cephas  Hill, 4423",274767,76,2,1
"Beatty  Lane, 7035",298619,85,1,1
"Baylis  Rue, 5104",294333,30,1,2
"Blue Anchor  Street, 9176",324148,99,4,1
"Garfield Tunnel, 7129",471332,92,1,3
"Birkbeck  Walk, 1679",215869,95,2,1
"Boldero   Alley, 1232",371667,69,3,3
"Canon Walk, 9861",371210,64,5,1
"Glenwood Avenue, 8901",396978,66,5,2
"Shepherds  Drive, 6161",470391,2,2,1
"Spruce Boulevard, 1744",207649,86,2,2
"Antrobus   Walk, 8943",185590,20,3,1
"Camelot   Pass, 2225",175035,31,4,3
"Geffrye   Tunnel, 5975",182024,29,3,2
"Chestnut  Avenue, 7805",348069,11,4,1
"Beechen  Walk, 3634",397781,48,4,1
"Aspen Drive, 4697",254146,39,2,1
"Belmore  Route, 6563",371291,78,1,2
"Birkin   Hill, 570",309861,82,5,3
"Arthur  Alley, 6389",92820,90,5,3
"Ellerman   Crossroad, 5050",425369,92,3,2
"Cleaver Vale, 8396",455783,16,2,3
"Angel  Vale, 9483",195789,50,3,2
"Canon Boulevard, 1954",345547,85,2,2
"Chantry   Crossroad, 3585",266941,35,2,2
"Castile  Vale, 8797",437699,59,1,3
"Dunstans  Street, 6756",345713,46,1,1
"King Rue, 7711",232020,40,3,3
"Bellenden  Boulevard, 1774",83557,28,1,2
"Linden Avenue, 4196",416911,7,3,2
"Lake Alley, 4624",461295,56,4,3
"Cavaye  Avenue, 9995",225468,18,2,3
"Yoakley Hill, 776",475470,75,4,3
"Woodland Rue, 7869",189149,91,2,1
"Thrale   Tunnel, 8417",223010,60,3,1
"Clere  Boulevard, 4905",427106,90,5,2
"Carol   Street, 6846",91337,84,3,1
"Gathorne   Boulevard, 8697",195721,83,3,1
"Apothecary   Rue, 6047",345017,24,4,2
"Belmore  Vale, 55",311021,67,5,2
"Burton  Hill, 1075",432816,77,3,1
"Bayberry Alley, 2174",82191,87,5,3
"Ellerman   Drive, 607",397981,99,5,1
"Durham Lane, 1824",344441,26,1,2
"Maple Rue, 5118",125667,63,4,2
"Commercial  Pass, 4731",77354,7,1,3
"Castle Route, 5840",217270,63,3,2
"Westbourne Drive, 8066",352889,99,2,2
"Paris   Lane, 1964",281665,40,3,2
"Blackheath   Rue, 9033",160284,35,2,1
"Westcott  Hill, 7124",464848,80,3,1
"Vine  Way, 2826",329699,59,1,3
"Clissold  Rue, 4950",338269,37,5,1
"Chart   Tunnel, 5459",350738,55,2,1
"Bingham   Rue, 1267",176691,28,1,3
"Cheltenham  Alley, 7511",133115,84,3,1
"Cato   Lane, 8931",414726,34,4,3
"Maple Route, 6044",491478,25,1,2
"Bloomsbury  Vale, 2536",163269,7,5,3
"Littlebury  Vale, 3400",191345,98,5,2
"Canning  Pass, 4559",287545,38,5,2
"Coleman  Rue, 8577",142574,66,3,3
"Badric  Avenue, 3005",62550,8,4,1
"Cingworth  Avenue, 9329",396622,67,2,2
"Balfour    Hill, 4964",212919,81,2,2
"Emden   Vale, 4531",442194,25,5,3
"Cleveland  Route, 460",235379,44,1,2
"Earl Rise Road, 2862",455662,25,2,3
"Blenkarne  Avenue, 7575",369656,46,1,2
"Egerton  Route, 8436",433651,14,2,2
"Meadow Crossroad, 1564",423466,74,1,2
"Railroad Lane, 3583",151510,25,4,1
"Cleveland  Street, 4605",301966,98,4,2
"Fawn Rue, 1612",405998,75,2,2
"Cedarne  Street, 5593",184894,84,1,1
"Balham   Vale, 716",279798,23,2,1
"Earl Rise Route, 4847",145565,33,3,2
"Chamberlain  Route, 2926",125688,58,1,3
"Chamberlain  Drive, 389",492239,75,5,1
"Castlereagh   Walk, 9257",233674,72,5,1
"Lexington Route, 493",387192,43,2,3
"Linden Rue, 5787",239877,86,5,3
"Pine Tunnel, 1316",166210,84,3,1
"Queensberry  Road, 5279",264164,26,1,3
"Dunton  Hill, 8041",325298,61,2,1
"Chambers  Tunnel, 4188",116477,91,4,3
"Emily  Grove, 5607",452454,17,1,3
"Enford   Walk, 1499",445264,35,2,3
"Belgrave  Avenue, 2734",125497,19,1,3
"Chestnut  Walk, 8101",159940,56,5,3
"Heritage Pass, 1105",469423,75,1,3
"Blomfield  Drive, 5815",94372,89,1,1
"Sheraton   Rue, 7333",169611,98,1,2
"Betton  Vale, 9798",373461,71,1,1
"Castlereagh   Pass, 6499",323066,37,1,2
"Lexington Road, 9462",318805,9,1,3
"Collingwood  Rue, 692",186987,95,4,2
"Aylward   Alley, 9784",311332,68,1,1
"Queen Vale, 2133",65547,2,4,3
"Bede  Lane, 4917",284218,4,3,3
"Geary   Walk, 6684",449463,99,5,1
"Chester  Lane, 4144",395048,53,5,2
"Erindale Rue, 261",358294,85,2,2
"Eldon  Pass, 5627",81568,51,5,2
"Ashley Hill, 7838",458358,6,4,2
"Chelsea Manor  Boulevard, 6930",361081,33,1,1
"Chestnut Rise Walk, 2678",272212,76,2,2
"Boldero   Grove, 8353",136560,35,1,3
"Coborn  Alley, 8174",266369,95,5,3
"Buttonwood Way, 8592",258599,17,1,2
"Bury  Boulevard, 9937",283899,7,3,3
"Cliff  Boulevard, 5763",386872,57,4,2
"Angel  Drive, 7150",372286,50,4,1
"Hamilton  Crossroad, 2105",219043,30,3,3
"Garfield Route, 303",314313,26,1,3
"Arctic   Crossroad, 6725",175225,76,1,1
"Cecilia  Tunnel, 7321",222285,3,1,1
"Bingham   Vale, 7473",355148,26,1,1
"Archery  Walk, 1441",396576,98,5,3
"Blackall   Hill, 1613",190760,63,4,3
"Ernest  Road, 4379",379747,78,1,2
"Earl Rise Avenue, 9926",170945,22,4,2
"Belmore  Tunnel, 9091",50613,0,4,3
"Bishop   Avenue, 5081",404313,21,2,3
"Longman   Hill, 701",229154,59,2,2
"Railroad Boulevard, 9452",265178,3,4,3
"Underwood  Vale, 5014",389141,13,2,2
"Belmore  Tunnel, 3114",332071,86,2,1
"Cleveland  Lane, 9453",305655,76,3,3
"Chester      Lane, 8705",335991,42,5,1
"Elia   Drive, 5231",489732,97,5,3
"Charnwood   Road, 338",84280,7,2,2
"Emily  Pass, 7712",379064,93,3,2
"Durnford  Drive, 9099",171906,29,5,2
"Bazely   Way, 1181",372298,36,3,1
"Arthur  Walk, 6496",446930,45,2,1
"Cable    Lane, 4919",359197,16,3,2
"Yorkshire  Alley, 9042",267321,38,3,2
"Becher  Way, 7062",358007,96,2,1
"Adelaide  Lane, 3599",368114,84,1,1
"North Vale, 8491",269154,23,3,2
"Cavaye  Grove, 5837",106624,37,5,1
"Bellenden   Street, 2333",492117,88,4,1
"Blean   Drive, 1976",267814,94,5,2
"Calvin   Vale, 9800",196582,36,3,1
"Thomas  Road, 9958",119574,12,1,3
"Addison  Vale, 5586",316016,54,1,3
"Glenwood Vale, 7243",480830,44,4,3
"Elizabeth  Rue, 30",180731,46,5,1
"Babmaes    Way, 8000",55208,25,5,2
"Garfield Tunnel, 8278",392177,55,3,3
"Chancellor  Way, 8928",227433,90,4,1
"Besson  Tunnel, 3683",463544,85,2,3
"Andrews  Drive, 8640",347918,22,4,3
"Lexington Pass, 5795",182189,21,2,2
"Falconberg   Lane, 1970",449365,25,5,2
"Canon Alley, 8961",301079,20,4,1
"Gate   Grove, 926",230723,47,4,3
"Capeners  Drive, 984",198862,66,1,1
"Wadham  Boulevard, 1006",360935,41,4,1
"Cheltenham  Vale, 316",316389,58,3,2
"Chantry   Drive, 1041",59508,98,4,1
"Cato   Avenue, 8920",383503,53,4,2
"Cliff  Alley, 5566",317223,74,1,1
"Black Swan  Walk, 8669",407736,4,1,3
"Boldero   Alley, 8095",450019,31,2,2
